"cjis_code","statue_code","code_type","literal","toc","summary_code","hierarchy"
36224,"290.011 (C)",PC,"TRANSIENT FAIL ANNUAL UPDATE",F,18,29330
36225,"290.011 (C)",PC,"TRAN FAIL ANNUAL UPDATE",M,60,96340
36227,"290.011 (D)",PC,"TRANSIENT FAIL PROVIDE CURRENT INF",M,60,96340
36226,"290.011 (D)",PC,"TRANSIENT FAIL PROVIDE CURRENT INF",F,18,29330
36228,"290.011 (F)",PC,"TRAN FAIL RPT OOS MOVE",F,18,29330
36229,"290.011 (F)",PC,"TRANSIENT FAIL REPORT OUT OF STATE",M,60,96340
36230,"290.012 (A)",PC,"SEX OFFENDER FAIL UPDATE ANNUAL R",F,18,29330
36231,"290.012 (A)",PC,"SEX OFFENDER FAIL UPDATE ANNUAL R",M,60,96340
36201,"290.012 (B)",PC,"SEXUALLY VIOLENT PREDATOR FAIL 90 D",F,18,29330
36202,"290.012 (B)",PC,"SEXUALLY VIOLENT PREDATOR FAIL 90 D",M,60,96340
36232,"290.012 (C)",PC,"TRANSIENT FAIL UPDATE REGISTRATION",F,18,29330
36233,"290.012 (C)",PC,"TRANSIENT FAIL UPDATE REGISTRATION",M,60,96340
36234,"290.013",PC,"SEX REGISTRANT FAIL REPORT ADDRESS",F,18,29330
36235,"290.013",PC,"SEX REGISTRANT FAIL REPORT ADDRESS",M,60,96340
36237,"290.014",PC,"SEX REGISTRANT FAIL REPORT NAME CH",M,60,96340
36236,"290.014",PC,"SEX REGISTRANT FAIL REPORT NAME CH",F,18,29330
36205,"290.015",PC,"290 VIOLATION AFTER INCARCERATION",F,18,29330
36206,"290.015",PC,"290 VIOLATION AFTER INCARCERATION",M,60,96340
89107,"290.016",PC,"PREREGISTER OF SEX OFFENDER",N,60,126600
36238,"290.018 (A)",PC,"SEX OFFENDER FAIL TO REGISTER/ETC",M,60,96340
36239,"290.018 (B)",PC,"FAIL REGISTER WITH FELONY SEX OFFEN",F,18,29330
36241,"290.018 (D)",PC,"MENTALLY DISORDERED SEX OFFENDER",F,18,29330
36240,"290.018 (D)",PC,"MENTALLY DISORDERED SEX OFFENDER",M,60,96340
36208,"290.018 (F)",PC,"290 VIOLATION SEXUALLY VIOLENT PRE",M,60,96340
36207,"290.018 (F)",PC,"290 VIOLATION SEXUALLY VIOLENT PRE",F,18,29330
36209,"290.018 (G)",PC,"290 VIOLATION TRAN 30 DAY UPDATE",F,18,29330
36210,"290.018 (G)",PC,"290 VIOLATION TRAN 30 DAY UPDATE",M,60,85425
36242,"290.018 (H)",PC,"REGISTRANT FAIL TO PROVIDE PROOF O",M,60,126600
36211,"290.018 (J)",PC,"FAIL PROVIDE REQUIRED REGISTRATION",M,60,96340
28033,"290.4 (C)",PC,"UNAUTHORIZED COPY/ETC SEX OFFEND",M,60,141400
28034,"290.4 (D)",PC,"UNAUTHORIZED REMOVE/DESTROY SEX",M,60,96405
28029,"290.4 (D)",PC,"PHOTOCOPY SERIOUS HABITUAL OFFEN",M,60,141400
28030,"290.4 (E)",PC,"REMOVE SERIOUS HABITUAL OFFENDER",M,60,96405
89106,"290.46 (K)",PC,"REG SEX OFFENDER WHO ENTERS AN IN",M,60,141400
36289,"290.85 (B)",PC,"SEX REGISTRANT PAROLE REQUIRE PRO",M,60,96340
36127,"290.95",PC,"FAIL TO REPORT SEX REGISTRATION STA",M,60,99600
89005,"2905",PC,"REGISTRATION OF SEX OFFENDER",N,60,126600
50134,"298.1",PC,"FAIL/REFUSE PROVIDE BLOOD/SALIVA S",M,60,99600
50155,"298.2 (A)(1)",PC,"KNOWINGLY SUBMIT FALSE DNA",F,25,21100
50156,"298.2 (A)(2)",PC,"KNOWINGLY TAMPER WITH DNA",F,25,21100
50157,"299.5 (I)(1)(A)",PC,"KNOWINGLY DISCLOSE DNA INFORMAT",F,25,48400
50158,"299.5 (I)(1)(A)",PC,"KNOWINGLY DISCLOSE DNA INFORMAT",M,60,97410
29108,"300",HN,"SINK/ETC/SET ADRIFT VESSEL LESS THAN",M,60,168400
29116,"301",HN,"INJURE/ETC 10 TON OR MORE VESSEL",M,60,168400
29106,"302",HN,"WILLFULLY SINK/SET ADRIFT 10 TON OR",F,25,36700
53100,"302",PC,"DISTURB RELIGIOUS MEETING (AMENDE",M,46,127400
53113,"302 (A)",PC,"DISTURB RELIGIOUS MEETING",M,46,127400
41010,"303",PC,"HIRE PERSON TO PROCURE LIQUOR SAL",M,44,140600
41011,"303 A",PC,"BEG/SOLICIT PURCHASE OF LIQUOR",M,44,140700
29117,"304",HN,"COMMANDER/ETC SINK/ETC VESSEL/ET",F,9,18600
41012,"304",PC,"SELL LIQUOR NEAR CAMP MEETINGS (R",M,44,175100
29118,"305",HN,"SINK/ETC VESSEL/ETC",F,9,26100
29092,"307",HN,"MOOR VESSEL/DAMAGE BUOY/ETC",M,60,168400
43040,"307",PC,"SELL/ETC CAKE/ETC CONTAINING ALCOH",M,44,138800
29119,"308",HN,"MOOR TO/DAMAGE FEDERAL GOVERNM",M,60,168400
43008,"308",PC,"SELL/ETC TOBACCO/ETC TO MINOR",M,60,160000
43036,"308 (A)",PC,"FURNISH/ETC MINOR W/TOBACCO/SMO",M,60,160000
43046,"308 (A)(1)",PC,"KNOWINGLY FURNISHING UNDER 18 YR",M,60,160000
08041,"308 (A)(2)(B)",PC,"MINOR PURCHASE SMOKING PARAPHER",I,60,176150
08024,"308 (B)",PC,"MINOR PURCHASE/RECEIVE/ETC TOBAC",M,60,176150
08034,"308 (B)",PC,"MINOR PURCHASE SMOKING PARAPHER",I,60,176150
31216,"308 (C)",PC,"FAIL TO POST NOTICE REQUIRED TO SEL",M,60,172250
55178,"308 B(A)",PC,"DISTRIBUTE UNSOLICITED TOBACCO",M,60,160100
31222,"308.1 (A)",PC,"SELL/IMPORT/ETC BIDIS/BEEDIES WHER",M,60,160000
31221,"308.2 (A)",PC,"SELL IMPROPERLY SEALED/LABELED CIG",I,60,175890
31251,"308.5 (A)",PC,"ALCOHOL/TOBACCO PRODUCTS ADVERT",M,60,160100
43009,"309",PC,"KEEP MINOR IN BROTHEL",M,60,150800
08005,"310",PC,"MINOR VISIT BIRD/PRIZE FIGHT",M,60,172300
55164,"310.2 (A)",PC,"COACH/ETC GIVE/ETC DIURETIC/ETC TO",M,60,144900
36107,"310.5 (A)",PC,"GUARDIAN & PERPETRATOR CONTRACT",M,60,84510
37004,"311",PC,"OBSCENE MATTER",M,39,116700
36014,"311",PC,"INDECENT EXPOSURE/EXHIBITIONS/ETC",M,37,116400
37029,"311 (A)",PC,"OBSCENE MATTER",M,39,116700
36015,"311.1",PC,"INDECENT EXPOSURE (REPEALED)",M,37,116400
37060,"311.1 (A)",PC,"SEND/SELL/ETC OBSCENE MATTER DEPI",F,18,37873
37075,"311.1 (A)",PC,"SEND/SELL/ETC OBSCENE MATTER DEPI",M,39,94200
37102,"311.10",PC,"ADVERTISE FOR SALE OBSCENE MATTER",F,18,22100
37101,"311.10",PC,"ADVERTISE FOR SALE OBSCENE MATTER",M,39,94200
37089,"311.10 (A)",PC,"ADVERTISE OBSCENE MATTER DEPICTIN",M,39,94200
37050,"311.10 (A)",PC,"ADVERTISE OBSCENE MATTER DEPICTIN",F,18,22100
37043,"311.11",PC,"POSSESS/ETC OBSCENE MATTER:CHILD",M,39,94200
37087,"311.11 (A)",PC,"POSSESS/ETC OBSCENE MATTER OF MIN",F,18,28500
37046,"311.11 (A)",PC,"POSS/ETC MATTER DEPICTING MNR UN",M,39,94200
37061,"311.11 (A)",PC,"POSSESS/ETC OBSCENE MATTER:MINOR",M,39,94200
37088,"311.11 (B)",PC,"POSSESS OBSCENE MATTER OF MINOR:A",F,18,12600
37051,"311.11 (B)",PC,"POSSESS/ETC MATTER DEPICTING MINO",F,18,12600
37107,"311.11 (C)(1)",PC,"POSSESS/ETC OVER 600 OBSCENE IMAG",F,18,23240
37108,"311.11 (C)(1)",PC,"POSSESS/ETC OVER 600 OBSCENE IMAG",M,39,94200
37110,"311.11 (C)(2)",PC,"POSSESS/ETC OBSCENE MATTER DEPICT",M,39,94200
37109,"311.11 (C)(2)",PC,"POSSESS/ETC OBSCENE MATTER DEPICT",F,18,23240
37005,"311.2",PC,"SEND/POSSESS/ETC OBSCENE MATTER",M,39,116900
36016,"311.2",PC,"PROCURE/AID INDECENT EXPOSURE",M,37,116400
37023,"311.2",PC,"SEND/POSSESS/ETC OBSCENE MATTER",F,18,28900
37018,"311.2 (A)",PC,"SEND/POSSESS/ETC OBSCENE MATTER",M,39,116900
37024,"311.2 (A)",PC,"SEND/POSSESS/ETC OBSCENE MATTER W",F,18,28900
37019,"311.2 (B)",PC,"OBSCENE MATTER DEPICTING MINOR FO",F,18,14300
37031,"311.2 (C)",PC,"POSS/DISTRIBUTE/ETC OBSCENE MATTE",M,39,94100
37030,"311.2 (C)",PC,"POSS/DISTRIBUTE/ETC OBSCENE MATTE",F,18,29300
37034,"311.2 (D)",PC,"DISTRIBUTE/ETC OBSCENE MATTER OF M",F,18,29000
37007,"311.3",PC,"FURNISH OBSCENE MATTER TO MINOR",M,39,94600
37070,"311.3",PC,"SEXUALLY EXPLOIT CHILD",M,39,94300
37071,"311.3",PC,"SEXUAL EXPLOITATION OF CHILD",F,18,28600
37006,"311.3",PC,"WRITE/SELL/ETC OBSCENE MATTER (AM",M,39,116900
37027,"311.3 (A)",PC,"DEPICT SEXUAL CONDUCT:CHILD UNDER",M,39,94300
37028,"311.3 (A)",PC,"DEPICT SEXUAL CONDUCT:CHILD UNDER",F,18,28600
37065,"311.3 (A)",PC,"SEX EXPLOITATION OF CHILD:DEVELOP/",M,39,94300
37066,"311.3 (A)",PC,"SEXUALLY EXPLOIT CHILD:DEVELOP/ETC",F,18,28600
37078,"311.3 (B)",PC,"SEXUAL EXPLOIT MINOR/DEPICT MINOR",M,39,94300
37100,"311.3 (B)",PC,"SEXUAL EXPLOIT MINOR/DEPICT MINOR",F,18,28600
37090,"311.3 (B)(1)",PC,"SEXUAL EXPLOIT MINOR:SEXUAL INTERC",F,18,28600
37079,"311.3 (B)(1)",PC,"SEXUAL EXPLOIT MINOR:SEXUAL INTERC",M,39,94300
37091,"311.3 (B)(2)",PC,"SEXUAL EXPLOIT MINOR:PENETRATE W",F,18,28600
37080,"311.3 (B)(2)",PC,"SEXUAL EXPLOIT MINOR:PENETRATE W",M,39,94300
37092,"311.3 (B)(3)",PC,"SEXUAL EXPLOIT MINOR:MASTURBATIO",F,18,28600
37081,"311.3 (B)(3)",PC,"SEXUAL EXPLOIT MINOR:MASTURBATIO",M,39,94300
37082,"311.3 (B)(4)",PC,"SEXUAL EXPLOIT MINOR:SADOMASOCH",M,39,94300
37093,"311.3 (B)(4)",PC,"SEXUAL EXPLOIT MINOR:SADOMASOCH",F,18,28600
37094,"311.3 (B)(5)",PC,"SEXUAL EXPLOIT MINOR:EXHIBIT GENITA",F,18,28600
37083,"311.3 (B)(5)",PC,"SEXUAL EXPLOIT MINOR:EXHIBIT GENITA",M,39,94300
37095,"311.3 (B)(6)",PC,"SEXUAL EXPLOIT MINOR:DEFECATE:SEX",F,18,28600
37084,"311.3 (B)(6)",PC,"SEXUAL EXPLOIT MINOR:DEFECATE FOR",M,39,94300
37047,"311.3 (D)",PC,"DEVELOP/ETC FILM/ETC W/SEXUAL CON",M,39,94300
37048,"311.3 (D)",PC,"DEVELOP/ETC FILM/ETC W/SEXUAL CON",F,18,28600
37008,"311.4",PC,"WRITE AD FOR OBSCENE MATTER (AME",M,39,117000
37009,"311.4",PC,"PAY MINOR TO SELL OBSCENE MATTER",M,39,94400
37037,"311.4 (A)",PC,"USE/ETC MINOR FOR OBSCENE MATTER",F,18,28700
37020,"311.4 (A)",PC,"USE/ETC MINOR FOR OBSCENE MATTER",M,39,94400
37021,"311.4 (B)",PC,"USE/ETC MINOR FOR OBSCENE MATTER",F,18,6100
37025,"311.4 (C)",PC,"USE/ETC UNDERAGE PERSON FOR OBSC",F,18,28700
37038,"311.5",PC,"ADVERTISE/ETC OBSCENE MATTER W/P",F,18,28800
37010,"311.5",PC,"MANUFACTURE/SELL OBSCENE RECORD",M,39,116700
37011,"311.5",PC,"ADVERTISE/ETC OBSCENE MATTER",M,39,117000
37012,"311.6",PC,"SING/RECITE OBSCENE MATTER (AMEND",M,39,117100
37013,"311.6",PC,"PARTICIPATE/ETC IN OBSCENE LIVE CON",M,39,117100
37039,"311.7",PC,"MAKE DEALER BUY OBSCENE MATTER W",F,18,29100
37014,"311.7",PC,"MAKE DEALER BUY OBSCENE MATTER",M,39,117200
37015,"313.1",PC,"GIVE HARMFUL MATTER TO MINOR",M,39,94500
37032,"313.1",PC,"GIVE HARMFUL MATTER TO MINOR",F,18,28500
37016,"313.1 (A)",PC,"GIVE HARMFUL MATTER TO MINOR (AM",M,39,94500
37035,"313.1 (A)",PC,"SELL/RENT/ETC HARMFUL MATTER TO M",F,18,28500
37036,"313.1 (A)",PC,"SELL/RENT/ETC HARMFUL MATTER TO M",M,39,94500
37033,"313.1 (A)",PC,"GIVE HARMFUL MATTER TO MINOR (AM",F,18,28500
37017,"313.1 (B)",PC,"MISREPRESENT AS PARENT/ETC:ALLOW",M,39,94500
37040,"313.1 (B)",PC,"MISREPRESENT AS PARENT/ETC ALLOW",F,18,28500
37049,"313.1 (C)",PC,"HARMFUL MATTER:VENDING MACHINE",M,39,94500
37041,"313.1 (C)",PC,"HARMFUL MATTER:VENDING MACHINE",F,18,28500
37022,"313.1 (C)",PC,"HARMFUL MATTER:VENDING MACHINE",M,39,94500
37063,"313.1 (C)(1)",PC,"HARMFUL MATTER:PUBLIC VENDING M",F,18,28500
37064,"313.1 (C)(1)",PC,"HARMFUL MATTER:PUBLIC VENDING M",M,39,94500
37067,"313.1 (C)(2)",PC,"HARMFUL MATTER:UNSUPERVISED PUB",M,39,94500
37068,"313.1 (C)(2)",PC,"HARMFUL MATTER:UNSUPERVISED PUB",F,18,28500
37077,"313.1 (E)",PC,"SELL/RENT HARMFUL MATTER MUST BE",M,39,117200
37076,"313.1 (E)",PC,"SELL/RENT HARMFUL MATTER MUST BE",I,39,117200
36017,"314",PC,"INDECENT EXPOSURE",M,37,116400
36059,"314",PC,"INDECENT EXPOSURE",F,18,28100
36279,"314.1",PC,"INDECENT EXPOSURE",F,18,28000
36056,"314.1",PC,"INDECENT EXPOSURE W/PRIOR",F,18,28000
36018,"314.1",PC,"INDECENT EXPOSURE",M,37,116400
36100,"314.1",PC,"INDECENT EXPOSURE AFTER ILLEGAL EN",F,18,37865
36019,"314.2",PC,"ASSIST ACT OF INDECENT EXPOSURE",M,37,116400
40013,"315",PC,"KEEP/LIVE IN HOUSE OF ILL FAME",M,41,126700
40014,"316",PC,"KEEP DISORDERLY HOUSE",M,41,126800
40015,"318",PC,"URGE VISIT FOR GAMBLING/PROSTITUT",M,55,135600
39004,"319",PC,"LOTTERY",M,55,135700
39005,"320",PC,"DRAWING LOTTERY",M,55,135800
39006,"321",PC,"SELL LOTTERY TICKETS",M,55,135900
39007,"322",PC,"AID LOTTERIES",M,55,136000
39008,"323",PC,"KEEP/ADVERTISE LOTTERY OFFICE",M,55,136100
39009,"324",PC,"INSURE LOTTERY TICKETS",M,55,136200
39010,"326",PC,"LET BUILDING/VESSEL FOR LOTTERY",M,55,136300
39042,"326.5 (B)",PC,"RECEIVE/PAY BINGO GAME WAGE/ETC",M,55,175000
39043,"326.5 (N)",PC,"BINGO GAME PRIZE EXCEEDS MAXIMUM",M,55,136400
39044,"327",PC,"ENDLESS CHAIN SCHEME",F,25,77600
39011,"327",PC,"ENDLESS CHAIN SCHEME (AMENDED)",M,55,136500
39012,"330",PC,"GAMBLING",M,55,136900
39013,"330 A",PC,"POSSESS/CONTROL SLOT MACHINE/ETC",M,55,136600
39040,"330 B",PC,"KEEP SLOT MACHINE",M,55,136700
39014,"330 B(1)",PC,"KEEP SLOT MACHINE",M,55,136700
39015,"330 C",PC,"PUNCHBOARDS",M,55,136800
39016,"330.1",PC,"MANUFACTURE/SELL/POSSESS GAMING",M,55,137100
39017,"330.4",PC,"POSSESS/CONTROL SLOT MACHINE/ETC",M,55,137200
39018,"331",PC,"PERMIT GAMBLING IN HOUSE",M,55,137300
26063,"332",PC,"OBTAIN MONEY BY FRAUD/TRICK [OVER",F,9,46115
26011,"332",PC,"OBTAIN MONEY BY FRAUD/TRICK (AME",M,32,109800
26303,"332 (A)",PC,"OBTAIN MONEY BY FRAUD:CARDS/ETC",M,32,109800
26304,"332 (A)",PC,"OBTAIN MONEY BY FRAUD:CARDS/ETC",F,9,46115
50025,"333",PC,"WITNESS FAIL TO APPEAR AT TRIAL",M,60,150900
39046,"334",PC,"FRAUDULENT CONCESSIONS/GAMES",M,32,109900
39045,"334",PC,"FRAUDULENT CONCESSIONS/GAMES",F,9,49000
39039,"334 (A)",PC,"USE HIDDEN MECHANICAL DEVICE TO D",F,9,49000
39038,"334 (A)",PC,"USE HIDDEN MECHANICAL DEVICE TO D",M,32,109900
39050,"334 (B)",PC,"MANUFACTURE/ETC MECHANICAL DEVI",M,32,109900
39051,"334 (C)",PC,"OWN/OPERATE RAZZLE DAZZLE GAME",M,32,109900
39019,"335",PC,"FAILURE TO ENFORCE GAMING LAWS",M,55,137400
43011,"336",PC,"PERMIT MINOR TO GAMBLE IN SALOON",M,55,137500
39076,"336.9 (A)",PC,"PARTICIPATES IN BETTING POOL",I,32,174500
51022,"337",PC,"ASK/TAKE BRIBE FROM VIOLATOR",F,25,33310
39020,"337 A",PC,"POOL SELLING/BOOKMAKING",F,23,75600
39021,"337 A.1",PC,"POOL SELLING/BOOKMAKING",F,23,75600
39022,"337 A.2",PC,"KEEP BOOKMAKING PREMISES",F,23,75600
39023,"337 A.3",PC,"HOLD GAMBLING STAKES",F,23,75600
39024,"337 A.4",PC,"RECORD BETS OR WAGERS",F,23,75600
39025,"337 A.5",PC,"MAINTAIN GAMBLING PREMISES",F,23,75600
39026,"337 A.6",PC,"MAKE/TAKE BETS ON CONTEST",F,23,75600
39077,"337 A.6 (B)",PC,"BOOKMAKING WITH PRIOR CONVICTION",M,32,92400
39067,"337 A.6(A)",PC,"BOOKMAKING WITH PRIOR CONVICTION",M,32,92400
51023,"337 B",PC,"OFFER BRIBE TO SPORT CONTESTANT",F,25,73800
51024,"337 C",PC,"SPORT CONTESTANT ACCEPT BRIBE",F,25,73900
51025,"337 D",PC,"OFFER BRIBE TO UMPIRE/ETC",F,25,74200
51026,"337 E",PC,"UMPIRE/ETC ACCEPT BRIBE",F,25,74300
39027,"337 F(A)",PC,"CONSPIRE/ETC TO STIMULATE/DEPRESS",F,25,76000
39070,"337 F(A)(1)",PC,"CONSPIRE/INFLUENCES TO STIMULATE O",F,25,76000
39071,"337 F(A)(1)",PC,"CONSPIRE/INFLUENCES TO STIMULATE O",M,60,98000
39072,"337 F(A)(2)",PC,"KNOWINGLY ENTER DRUGGED RACEHO",F,25,76000
39073,"337 F(A)(2)",PC,"KNOWINGLY ENTER DRUGGED RACEHO",M,60,98000
39074,"337 F(A)(3)",PC,"ENTER HORSE IN RACE UNDER FICTICIOU",F,25,76000
39075,"337 F(A)(3)",PC,"ENTER HORSE IN RACE UNDER FICTICIOU",M,60,98000
39049,"337 F(B)",PC,"STIMULATE/DEPRESS RACE HORSE",F,25,76000
39047,"337 F(C)",PC,"ENTER DRUGGED HORSE IN RACE",F,25,76000
39048,"337 F(D)",PC,"ENTER HORSE IN RACE UNDER FICTITIOU",F,25,76000
39028,"337 G",PC,"ANAESTHETIC IN RACING INCLOSURE",M,60,151100
39029,"337 H",PC,"GIVE DRUG/ETC TO RACE/EXHIBITION A",M,60,151100
39030,"337 I",PC,"TRANSMIT HORSE RACE RESULTS",F,23,75700
39068,"337 J(A)(1)",PC,"UNLAWFUL OPERATE/ETC CONTROLLED",M,32,92400
39031,"337 S(B)",PC,"PLAY/ETC DRAW POKER",M,55,137600
39055,"337 U(A)",PC,"ALTER/MISREPRESENT THE OUTCOME O",M,32,92400
39056,"337 U(B)",PC,"ALTER WAGER AFTER ACQUIRING KNOW",M,32,92400
39057,"337 U(C)",PC,"CLAIM/TAKE MONEY WITH INTENT TO D",M,32,92400
39058,"337 U(D)",PC,"KNOWINGLY ENTICE ANOTHER TO PLAC",M,32,92400
39059,"337 U(E)",PC,"PLACE BET AFTER KNOWLEDGE OF OUT",M,32,92400
39060,"337 U(F)",PC,"CANCEL BET AFTER KNOWLEDGE OF OU",M,32,92400
39061,"337 U(G)",PC,"MANIPULATE WITH INTENT TO CHEAT G",M,32,92400
39062,"337 V(A)",PC,"POSSESS DEVICE TO ASSIST IN PROJECTI",M,32,92400
39063,"337 W(A)",PC,"UNLAWFUL USE OF COUNTERFEIT CHIPS",M,32,92400
39064,"337 X",PC,"UNLAWFUL TO CHEAT GAMBLING GAM",M,32,92400
39065,"337 Y(A)",PC,"UNLAWFUL MANUFACTURE/SALE ANY P",M,32,92400
39066,"337 Y(B)",PC,"UNLAWFUL MARK/ALTER ANY GAMBLIN",M,32,92400
39032,"337.1",PC,"TOUTING",M,55,137700
39033,"337.2",PC,"TOUTING/ATTEMPT TOUTING",M,55,137800
39034,"337.3",PC,"USE RACE OFFICIAL'S NAME TO TOUT",F,25,67000
23141,"337.4",PC,"OBTAIN OVER SPECIFIED AMOUNT BY T",F,25,67000
23005,"337.4",PC,"OBTAIN OVER $200 BY TOUTING (AMEN",F,25,67000
39035,"337.5",PC,"TOUT REFUSE TO LEAVE TRACK",M,55,137900
26012,"337.7",PC,"USE RACING LICENSE FRAUDULENTLY",F,9,55605
39036,"337.8",PC,"USE CREDENTIAL FOR TOUTING",F,25,67000
31004,"343",PC,"FAIL TO SHOW GOLD BULLION RECORDS",M,60,151300
53084,"346",PC,"TICKET SCALPING",M,60,144100
55004,"347",PC,"POISON FOOD/WATER/MEDICINE (AME",F,6,16300
55110,"347 (A)",PC,"WILLFUL POISONING/ETC OF FOOD/ETC",F,6,14250
55283,"347 (A)(1)",PC,"WILLFUL POISONING/ETC OF FOOD/ETC",F,6,14250
55111,"347 (B)",PC,"INFORMS HARMFUL SUBSTANCE PLACE",F,6,40800
55005,"347 B",PC,"MANUFACTURE/ETC POISONOUS ALCOH",M,44,96200
25069,"350 (A)",PC,"MANUFACTURE/SELL COUNTERFEIT REG",F,9,55320
25054,"350 (A)",PC,"MANUFACTURE/SELL COUNTERFEIT REG",M,32,92400
25100,"350 (A)(1)",PC,"MANUFACTURE/SELL UNDER 1000 COU",M,32,92400
25102,"350 (A)(2)",PC,"MANUFACTURE/SELL 1000 OR MORE CO",F,9,55320
25101,"350 (A)(2)",PC,"MANUFACTURE/SELL 1000 OR MORE CO",M,32,92400
25110,"350 (B)",PC,"MANUFACTURE/SELL COUNTERFEIT REG",M,32,92400
25068,"350 (B)",PC,"MANUFACTURE/SELL COUNTERFEIT REG",F,9,55320
26013,"351 A",PC,"MISREPRESENT MANUFACTURER/ETC O",M,32,85500
23006,"355",PC,"DESTROY EVIDENCE OF OWNERSHIP",M,32,111900
23007,"356",PC,"DESTROY OWNER'S IDENTIFICATION MA",M,32,112100
50026,"359",PC,"SOLEMNIZE INCESTUOUS MARRIAGE",M,60,82300
50027,"360",PC,"PERFORM/RECORD MARRIAGE ILLEGAL",M,60,145000
56010,"361",PC,"CRUEL TREATMENT OF LUNATICS (REPE",M,30,103300
50028,"362",PC,"IGNORE WRIT OF HABEAS CORPUS",M,60,151700
50029,"363",PC,"JAIL AFTER RELEASE ON WRIT OF HABEA",M,60,151800
50030,"364",PC,"HIDE PERSON DUE FOR WRIT OF HABEA",M,60,151900
56011,"365",PC,"INNKEEPER/CARRIER REFUSE CUSTOME",M,60,152000
55258,"365.5 (B)",PC,"VIOLATE PUBLIC CONVEYANCE FOR DISA",M,60,175900
55259,"365.6 (A)",PC,"OBSTRUCT/INTERFERES WITH SERVICE D",M,60,152000
26366,"365.7 (A)",PC,"FALSELY REPRESENT AS OWNER/ETC OF",M,60,149015
25005,"366",PC,"COUNTERFEIT QUICKSILVER STAMPS (RE",F,11,27600
26014,"367",PC,"SELL DEBASED/ALTERED QUICKSILVER (R",M,32,112200
55090,"367 A(B)",PC,"CRUELTY TO DEPENDENT ADULT (RENU",M,30,102500
42004,"367 D",PC,"MISDEMEANOR DRUNK DRIVING (REPEA",M,51,122200
42051,"367 D(A)",PC,"DUI LIQUOR OR LIQUOR AND DRUGS (R",M,51,122200
42052,"367 D(B)",PC,"DUI ANY DRUG (REPEALED)",M,51,122200
42005,"367 E",PC,"FELONY DRUNK DRIVING (REPEALED)",F,20,62700
55115,"368",PC,"CRUELTY/THEFT:DEPENDENT/ELDER AD",F,9,22000
55116,"368",PC,"CRUELTY/THEFT:DEPENDENT/ELDER AD",M,31,91700
55210,"368 (A)",PC,"CRUELTY TO ELDER/DEPENDENT ADULT",M,30,89800
55099,"368 (A)",PC,"CRUELTY TO ELDER/DEPENDENT ADULT",F,6,21900
55216,"368 (A)(1)",PC,"CRUELTY TO ELDER/DEPENDENT ADULT",F,6,21900
55215,"368 (A)(1)",PC,"CRUELTY TO ELDER/DEPENDENT ADULT",M,30,89800
55096,"368 (B)",PC,"CRUELTY TO DEPENDENT ADULT (AMEN",M,30,102500
55153,"368 (B)",PC,"CRUELTY TO ELDER/DEPENDENT ADULT",M,30,102500
55224,"368 (B)(1)",PC,"CAUSE HARM/DEATH OF ELDER /DEPEN",F,6,21900
55225,"368 (B)(1)",PC,"CAUSE ELDER/DEPENDENT ADULT:HARM",M,30,89800
55226,"368 (C)",PC,"ELDER/DEPENDENT ADULT CRUELTY",M,30,102500
55154,"368 (C)",PC,"STEAL FROM DEPENDENT/ELDER ADULT",F,9,22000
55155,"368 (C)",PC,"STEAL FROM DEPENDENT/ELDER ADULT",M,31,91700
55112,"368 (C)",PC,"STEAL FROM DEPENDENT ADULT (AMEN",M,31,91700
55113,"368 (C)",PC,"STEAL FROM DEPENDENT ADULT [OVER",F,9,22000
55228,"368 (D)",PC,"THEFT OF ELDER/DEPENDENT ADULT (U",M,31,91700
55227,"368 (D)",PC,"THEFT OF ELDER/DEPENDENT ADULT (O",F,9,22000
55230,"368 (E)",PC,"THEFT OF ELDER/DEPENDENT ADULT BY",M,31,91700
55229,"368 (E)",PC,"ELDER/DEPENDENT ADULT THEFT:BY CA",F,9,22000
55245,"368 (F)",PC,"FALSE IMPRISONMENT:ELDR/DEP ADLT",F,25,21200
32005,"369 G",PC,"DRIVE ALONG RAILROAD TRACK (AMEN",M,49,134900
32076,"369 G(A)",PC,"DRIVE/RIDE/ETC ALONG RAILROAD TRA",M,49,134900
55006,"369 H",PC,"ERECT SIGN TO MISLEAD RAILROAD EM",M,60,152100
32047,"369 I",PC,"TRESPASS:RAILROAD PROPERTY (AMEN",M,49,135000
32077,"369 I(A)",PC,"TRESPASS:RAILROAD PROPERTY",M,49,135000
32081,"369 I(B)",PC,"TRESPASS:RAIL TRANSIT PROPERTY",M,49,135000
55007,"370",PC,"PUBLIC NUISANCE",M,60,130700
55008,"372",PC,"MAINTAIN PUBLIC NUISANCE",M,60,130900
55009,"372 A",PC,"SPIT IN PUBLIC PLACE (REPEALED)",M,60,131000
55010,"373 A",PC,"MAINTAIN NUISANCE AFTER NOTICE",M,60,131100
55041,"374",PC,"LITTERING WASTE MATTER",M,60,131400
55011,"374",PC,"IMPROPER DISPOSAL OF DEAD ANIMAL",M,60,131300
55012,"374 B",PC,"DUMP OFFENSIVE MATTER (RENUMBER",I,60,176300
55048,"374 B.5",PC,"LITTER PUBLIC/PRIVATE PROPERTY (REN",I,60,176300
55013,"374 C",PC,"SHOOT FIREARM FROM PUBLIC ROAD",M,30,102800
55014,"374 D",PC,"LEAVE DEAD ANIMAL IN OR NEAR STREE",M,60,131200
